Timestamp,imu1_q_x,imu1_q_y,imu1_q_z,imu1_q_w,imu2_q_x,imu2_q_y,imu2_q_z,imu2_q_w,Force,RR
2025-07-02T04:29:27.417759,-0.708,0.67,0.222,-0.02,-0.555,0.544,0.386,-0.497,0.6011276245117188,nan
2025-07-02T04:29:27.513987,-0.708,0.671,0.222,-0.02,-0.553,0.54,0.394,-0.498,0.7620925903320312,nan
2025-07-02T04:29:27.609698,-0.708,0.671,0.222,-0.02,-0.551,0.536,0.4,-0.499,0.89495849609375,nan
2025-07-02T04:29:27.705817,-0.707,0.671,0.222,-0.02,-0.55,0.534,0.404,-0.5,1.124908447265625,nan
2025-07-02T04:29:27.803113,-0.707,0.671,0.222,-0.02,-0.548,0.532,0.406,-0.501,1.270538330078125,nan
2025-07-02T04:29:27.915365,-0.707,0.671,0.222,-0.02,-0.545,0.533,0.406,-0.504,1.4391708374023438,nan
2025-07-02T04:29:28.027063,-0.707,0.671,0.222,-0.019,-0.544,0.537,0.4,-0.506,1.4979324340820312,nan
2025-07-02T04:29:28.123342,-0.707,0.671,0.222,-0.02,-0.542,0.539,0.396,-0.508,1.5720291137695312,nan
2025-07-02T04:29:28.218921,-0.707,0.671,0.222,-0.019,-0.54,0.541,0.393,-0.511,1.6435699462890625,nan
2025-07-02T04:29:28.314850,-0.707,0.671,0.223,-0.019,-0.54,0.545,0.387,-0.512,1.6972274780273438,nan
2025-07-02T04:29:28.410871,-0.708,0.67,0.223,-0.019,-0.541,0.548,0.382,-0.511,1.6359024047851562,nan
2025-07-02T04:29:28.507235,-0.708,0.67,0.223,-0.019,-0.541,0.552,0.377,-0.511,1.3855133056640625,nan
2025-07-02T04:29:28.602775,-0.708,0.67,0.224,-0.019,-0.543,0.555,0.371,-0.509,1.1657867431640625,nan
2025-07-02T04:29:28.699106,-0.708,0.67,0.224,-0.019,-0.546,0.559,0.365,-0.507,0.8413009643554688,nan
2025-07-02T04:29:28.794752,-0.708,0.669,0.224,-0.018,-0.548,0.562,0.36,-0.505,0.6420135498046875,nan
2025-07-02T04:29:28.905795,-0.708,0.669,0.224,-0.018,-0.549,0.565,0.355,-0.503,0.36862945556640625,nan
2025-07-02T04:29:29.002629,-0.708,0.67,0.224,-0.018,-0.55,0.567,0.352,-0.503,0.20766448974609375,nan
2025-07-02T04:29:29.098961,-0.708,0.67,0.224,-0.017,-0.55,0.567,0.35,-0.503,0.00070953369140625,nan
2025-07-02T04:29:29.194526,-0.708,0.67,0.224,-0.017,-0.551,0.569,0.347,-0.502,-0.09127044677734375,nan
2025-07-02T04:29:29.290862,-0.708,0.67,0.224,-0.018,-0.552,0.571,0.344,-0.502,-0.2317962646484375,nan
2025-07-02T04:29:29.386464,-0.708,0.669,0.224,-0.018,-0.551,0.57,0.345,-0.503,-0.37232208251953125,nan
2025-07-02T04:29:29.482894,-0.708,0.669,0.224,-0.019,-0.549,0.567,0.348,-0.506,-0.57672119140625,nan
2025-07-02T04:29:29.578441,-0.708,0.67,0.224,-0.02,-0.548,0.564,0.352,-0.508,-0.678924560546875,nan
2025-07-02T04:29:29.674707,-0.708,0.67,0.224,-0.021,-0.547,0.562,0.355,-0.509,-0.7734603881835938,nan
2025-07-02T04:29:29.770361,-0.708,0.67,0.223,-0.021,-0.546,0.558,0.361,-0.511,-0.8041229248046875,nan
2025-07-02T04:29:29.882700,-0.708,0.67,0.223,-0.022,-0.545,0.553,0.368,-0.511,-0.8552169799804688,nan
2025-07-02T04:29:29.978266,-0.708,0.67,0.222,-0.023,-0.545,0.548,0.375,-0.512,-0.8961029052734375,nan
2025-07-02T04:29:30.074620,-0.708,0.67,0.222,-0.023,-0.544,0.544,0.382,-0.512,-0.9344253540039062,nan
2025-07-02T04:29:30.170256,-0.708,0.669,0.222,-0.023,-0.543,0.541,0.386,-0.513,-0.9625320434570312,nan
2025-07-02T04:29:30.266528,-0.709,0.669,0.222,-0.024,-0.541,0.538,0.392,-0.514,-1.0315170288085938,nan
2025-07-02T04:29:30.362148,-0.708,0.669,0.222,-0.025,-0.541,0.537,0.393,-0.514,-1.074951171875,nan
2025-07-02T04:29:30.458473,-0.708,0.67,0.222,-0.025,-0.54,0.536,0.394,-0.516,-1.1056060791015625,nan
2025-07-02T04:29:30.554095,-0.709,0.669,0.222,-0.026,-0.538,0.536,0.394,-0.518,-1.082611083984375,nan
2025-07-02T04:29:30.650409,-0.709,0.669,0.222,-0.027,-0.538,0.539,0.39,-0.518,-1.0672836303710938,nan
2025-07-02T04:29:30.746045,-0.708,0.669,0.222,-0.027,-0.537,0.543,0.385,-0.518,-1.1056060791015625,nan
2025-07-02T04:29:30.842326,-0.709,0.669,0.222,-0.026,-0.538,0.547,0.38,-0.517,-1.1618194580078125,nan
2025-07-02T04:29:30.937976,-0.709,0.669,0.223,-0.026,-0.539,0.552,0.374,-0.515,-1.195037841796875,nan
2025-07-02T04:29:31.050258,-0.709,0.668,0.223,-0.025,-0.541,0.555,0.37,-0.513,-1.2205810546875,nan
2025-07-02T04:29:31.145879,-0.709,0.668,0.224,-0.025,-0.542,0.556,0.366,-0.512,-1.212921142578125,nan
2025-07-02T04:29:31.242202,-0.709,0.668,0.224,-0.023,-0.546,0.558,0.362,-0.509,-1.2052536010742188,nan
2025-07-02T04:29:31.337833,-0.709,0.668,0.225,-0.022,-0.55,0.561,0.357,-0.505,-1.20269775390625,nan
2025-07-02T04:29:31.434119,-0.709,0.668,0.226,-0.02,-0.554,0.564,0.352,-0.502,-1.1899261474609375,nan
2025-07-02T04:29:31.529726,-0.709,0.668,0.226,-0.019,-0.556,0.566,0.348,-0.499,-1.174591064453125,nan
2025-07-02T04:29:31.626068,-0.709,0.668,0.227,-0.018,-0.559,0.568,0.343,-0.497,-1.1311569213867188,nan
2025-07-02T04:29:31.721724,-0.709,0.668,0.227,-0.016,-0.561,0.57,0.34,-0.495,-1.0800628662109375,nan
2025-07-02T04:29:31.818207,-0.709,0.668,0.228,-0.016,-0.562,0.572,0.337,-0.493,-0.9523086547851562,nan
2025-07-02T04:29:31.929627,-0.708,0.668,0.228,-0.015,-0.563,0.573,0.335,-0.493,-0.83477783203125,nan
2025-07-02T04:29:32.025921,-0.708,0.668,0.228,-0.015,-0.563,0.574,0.333,-0.492,-0.668701171875,nan
2025-07-02T04:29:32.121549,-0.708,0.668,0.227,-0.015,-0.562,0.574,0.332,-0.493,-0.5843887329101562,nan
2025-07-02T04:29:32.217841,-0.708,0.669,0.227,-0.015,-0.562,0.574,0.332,-0.494,-0.4157562255859375,nan
2025-07-02T04:29:32.313500,-0.708,0.669,0.226,-0.016,-0.561,0.574,0.333,-0.495,-0.2701263427734375,nan
2025-07-02T04:29:32.409800,-0.708,0.669,0.226,-0.016,-0.561,0.57,0.338,-0.496,-0.02484130859375,nan
2025-07-02T04:29:32.505575,-0.708,0.669,0.226,-0.017,-0.559,0.566,0.344,-0.498,0.15145111083984375,nan
2025-07-02T04:29:32.601913,-0.708,0.669,0.226,-0.017,-0.557,0.562,0.351,-0.501,0.4018402099609375,nan
2025-07-02T04:29:32.697384,-0.708,0.669,0.225,-0.018,-0.555,0.556,0.36,-0.503,0.544921875,nan
2025-07-02T04:29:32.808564,-0.707,0.67,0.225,-0.018,-0.554,0.551,0.367,-0.504,0.71099853515625,nan
2025-07-02T04:29:32.921273,-0.708,0.669,0.226,-0.016,-0.552,0.547,0.376,-0.505,0.8004226684570312,nan
2025-07-02T04:29:33.017683,-0.708,0.669,0.226,-0.016,-0.551,0.544,0.38,-0.506,0.9358367919921875,nan
2025-07-02T04:29:33.113214,-0.709,0.667,0.228,-0.01,-0.551,0.546,0.378,-0.506,1.0380325317382812,nan
2025-07-02T04:29:33.209336,-0.709,0.667,0.229,-0.005,-0.549,0.548,0.376,-0.507,1.2117767333984375,nan
2025-07-02T04:29:33.305169,-0.709,0.667,0.228,-0.005,-0.548,0.55,0.373,-0.508,1.3395233154296875,nan
2025-07-02T04:29:33.401484,-0.708,0.668,0.228,-0.005,-0.547,0.552,0.371,-0.509,1.4851608276367188,nan
2025-07-02T04:29:33.497097,-0.708,0.668,0.228,-0.005,-0.547,0.555,0.367,-0.508,1.5413742065429688,nan
2025-07-02T04:29:33.593415,-0.708,0.668,0.228,-0.005,-0.55,0.559,0.361,-0.505,1.602691650390625,nan
2025-07-02T04:29:33.705050,-0.708,0.668,0.228,-0.004,-0.551,0.562,0.356,-0.503,1.7508773803710938,nan
2025-07-02T04:29:33.801367,-0.708,0.668,0.228,-0.003,-0.553,0.565,0.352,-0.501,1.8633041381835938,nan
2025-07-02T04:29:33.896945,-0.708,0.668,0.228,-0.003,-0.555,0.567,0.348,-0.499,2.0242691040039062,nan
2025-07-02T04:29:33.993243,-0.708,0.668,0.229,-0.003,-0.558,0.569,0.344,-0.496,2.1111373901367188,nan
2025-07-02T04:29:34.088875,-0.709,0.667,0.229,-0.003,-0.561,0.571,0.34,-0.493,2.14434814453125,nan
2025-07-02T04:29:34.185166,-0.709,0.667,0.229,-0.002,-0.564,0.573,0.336,-0.49,2.0677032470703125,nan
2025-07-02T04:29:34.280819,-0.708,0.668,0.229,-0.001,-0.567,0.575,0.332,-0.487,1.804534912109375,nan
2025-07-02T04:29:34.377109,-0.709,0.667,0.23,-0.001,-0.569,0.577,0.329,-0.485,1.5822525024414062,nan
2025-07-02T04:29:34.472719,-0.708,0.667,0.23,-0.001,-0.568,0.578,0.328,-0.485,1.2296600341796875,nan
2025-07-02T04:29:34.583652,-0.708,0.668,0.229,-0.001,-0.569,0.578,0.327,-0.485,1.0150375366210938,nan
2025-07-02T04:29:34.680657,-0.708,0.668,0.229,-0.001,-0.57,0.58,0.324,-0.483,0.756988525390625,nan
2025-07-02T04:29:34.776989,-0.708,0.668,0.228,-0.002,-0.57,0.581,0.323,-0.484,0.5832443237304688,nan
2025-07-02T04:29:34.872564,-0.708,0.669,0.227,-0.003,-0.568,0.58,0.325,-0.486,0.27919769287109375,nan
2025-07-02T04:29:34.968852,-0.708,0.669,0.227,-0.004,-0.566,0.578,0.328,-0.488,0.1029052734375,nan
2025-07-02T04:29:35.064508,-0.708,0.669,0.226,-0.005,-0.565,0.574,0.334,-0.49,-0.0938262939453125,nan
2025-07-02T04:29:35.160805,-0.708,0.669,0.226,-0.006,-0.564,0.57,0.339,-0.492,-0.18836212158203125,nan
2025-07-02T04:29:35.256439,-0.708,0.67,0.225,-0.007,-0.561,0.567,0.344,-0.495,-0.26757049560546875,nan
2025-07-02T04:29:35.352798,-0.708,0.67,0.224,-0.008,-0.56,0.564,0.349,-0.497,-0.29567718505859375,nan
2025-07-02T04:29:35.448385,-0.708,0.67,0.224,-0.009,-0.56,0.561,0.353,-0.497,-0.33655548095703125,nan
2025-07-02T04:29:35.544694,-0.708,0.67,0.224,-0.009,-0.558,0.558,0.358,-0.499,-0.3799896240234375,nan
2025-07-02T04:29:35.656285,-0.707,0.67,0.224,-0.01,-0.555,0.555,0.363,-0.503,-0.47963714599609375,nan
2025-07-02T04:29:35.752640,-0.708,0.67,0.224,-0.009,-0.553,0.554,0.364,-0.504,-0.5562820434570312,nan
2025-07-02T04:29:35.848184,-0.708,0.67,0.224,-0.009,-0.552,0.556,0.362,-0.505,-0.661041259765625,nan
2025-07-02T04:29:35.944541,-0.708,0.67,0.225,-0.008,-0.551,0.557,0.361,-0.506,-0.7172470092773438,nan
2025-07-02T04:29:36.040115,-0.708,0.67,0.225,-0.008,-0.552,0.559,0.357,-0.505,-0.788787841796875,nan
2025-07-02T04:29:36.136450,-0.707,0.67,0.225,-0.008,-0.552,0.562,0.354,-0.504,-0.8475570678710938,nan
2025-07-02T04:29:36.231979,-0.708,0.67,0.226,-0.008,-0.552,0.564,0.351,-0.504,-0.972747802734375,nan
2025-07-02T04:29:36.328325,-0.708,0.669,0.226,-0.007,-0.553,0.566,0.349,-0.503,-1.03662109375,nan
2025-07-02T04:29:36.423624,-0.707,0.669,0.227,-0.006,-0.554,0.568,0.346,-0.501,-1.082611083984375,nan
2025-07-02T04:29:36.535461,-0.707,0.669,0.227,-0.006,-0.555,0.569,0.343,-0.5,-1.09283447265625,nan
2025-07-02T04:29:36.631849,-0.707,0.669,0.228,-0.005,-0.557,0.571,0.34,-0.498,-1.0723953247070312,nan
2025-07-02T04:29:36.728198,-0.707,0.669,0.228,-0.004,-0.559,0.573,0.337,-0.495,-1.0519561767578125,nan
2025-07-02T04:29:36.823465,-0.707,0.669,0.228,-0.004,-0.562,0.575,0.334,-0.493,-0.9982986450195312,nan
2025-07-02T04:29:36.920083,-0.707,0.669,0.229,-0.003,-0.563,0.576,0.331,-0.491,-0.9471969604492188,nan
2025-07-02T04:29:37.015664,-0.708,0.668,0.23,-0.003,-0.564,0.578,0.328,-0.49,-0.8552169799804688,nan
2025-07-02T04:29:37.112005,-0.708,0.668,0.229,-0.003,-0.566,0.579,0.326,-0.488,-0.7785720825195312,15.075376510620117
2025-07-02T04:29:37.207602,-0.707,0.669,0.229,-0.005,-0.566,0.58,0.324,-0.487,-0.6252670288085938,nan
2025-07-02T04:29:37.303933,-0.707,0.669,0.228,-0.005,-0.565,0.58,0.325,-0.489,-0.49752044677734375,nan
2025-07-02T04:29:37.399597,-0.706,0.67,0.228,-0.005,-0.564,0.58,0.325,-0.49,-0.28545379638671875,nan
2025-07-02T04:29:37.496107,-0.706,0.671,0.227,-0.006,-0.564,0.579,0.327,-0.491,-0.17303466796875,nan
2025-07-02T04:29:37.607469,-0.706,0.671,0.227,-0.007,-0.562,0.576,0.331,-0.493,-0.02739715576171875,nan
2025-07-02T04:29:37.703938,-0.706,0.671,0.227,-0.008,-0.559,0.573,0.335,-0.496,0.0977935791015625,nan
2025-07-02T04:29:37.799454,-0.706,0.672,0.226,-0.008,-0.557,0.57,0.341,-0.499,0.30730438232421875,nan
2025-07-02T04:29:37.911438,-0.706,0.672,0.225,-0.01,-0.556,0.565,0.347,-0.501,0.4580535888671875,nan
2025-07-02T04:29:38.007301,-0.705,0.672,0.225,-0.011,-0.556,0.562,0.353,-0.501,0.6905593872070312,nan
2025-07-02T04:29:38.103595,-0.706,0.672,0.225,-0.01,-0.555,0.558,0.358,-0.502,0.8336334228515625,nan
2025-07-02T04:29:38.199176,-0.706,0.672,0.225,-0.01,-0.554,0.554,0.364,-0.504,1.0431442260742188,nan
2025-07-02T04:29:38.311151,-0.706,0.672,0.225,-0.01,-0.552,0.554,0.366,-0.505,1.1862258911132812,nan
2025-07-02T04:29:38.407117,-0.706,0.671,0.225,-0.008,-0.551,0.555,0.364,-0.506,1.4110641479492188,nan
2025-07-02T04:29:38.503492,-0.708,0.67,0.226,-0.005,-0.55,0.556,0.363,-0.507,1.5541458129882812,nan
2025-07-02T04:29:38.599059,-0.708,0.669,0.226,-0.004,-0.55,0.558,0.36,-0.506,1.7278823852539062,nan
2025-07-02T04:29:38.695401,-0.708,0.669,0.227,-0.003,-0.551,0.561,0.356,-0.504,1.8428573608398438,nan
2025-07-02T04:29:38.791002,-0.708,0.668,0.227,-0.002,-0.553,0.564,0.352,-0.503,2.0217132568359375,nan
2025-07-02T04:29:38.887284,-0.708,0.668,0.228,-0.002,-0.553,0.565,0.35,-0.502,2.1162490844726562,nan
2025-07-02T04:29:38.982926,-0.708,0.668,0.228,-0.001,-0.555,0.567,0.347,-0.5,2.236328125,nan
2025-07-02T04:29:39.079186,-0.708,0.668,0.229,-0.001,-0.558,0.569,0.343,-0.497,2.3078689575195312,nan
2025-07-02T04:29:39.189214,-0.708,0.668,0.229,-0.0,-0.56,0.571,0.34,-0.495,2.3053131103515625,nan
2025-07-02T04:29:39.287096,-0.708,0.668,0.23,0.001,-0.562,0.572,0.337,-0.493,2.1750106811523438,nan
2025-07-02T04:29:39.382746,-0.708,0.668,0.231,0.001,-0.565,0.574,0.334,-0.491,1.8530807495117188,nan
2025-07-02T04:29:39.479135,-0.707,0.668,0.231,0.002,-0.566,0.575,0.331,-0.489,1.6154632568359375,nan
2025-07-02T04:29:39.574667,-0.707,0.668,0.231,0.002,-0.567,0.577,0.329,-0.488,1.2654342651367188,nan
2025-07-02T04:29:39.670961,-0.707,0.668,0.232,0.002,-0.567,0.577,0.328,-0.488,1.0431442260742188,nan
2025-07-02T04:29:39.766618,-0.707,0.669,0.232,0.002,-0.567,0.577,0.327,-0.488,0.7390975952148438,nan
2025-07-02T04:29:39.862947,-0.706,0.669,0.232,0.002,-0.566,0.577,0.327,-0.49,0.5781326293945312,nan
2025-07-02T04:29:39.958543,-0.706,0.669,0.232,0.003,-0.565,0.576,0.328,-0.491,0.3839569091796875,nan
2025-07-02T04:29:40.054839,-0.706,0.669,0.232,0.002,-0.563,0.574,0.331,-0.494,0.2638702392578125,nan
2025-07-02T04:29:40.150457,-0.705,0.67,0.232,0.002,-0.56,0.569,0.339,-0.497,0.10034942626953125,nan
2025-07-02T04:29:40.262643,-0.705,0.67,0.232,0.002,-0.558,0.565,0.344,-0.5,-0.0299530029296875,nan
2025-07-02T04:29:40.358368,-0.705,0.67,0.232,0.001,-0.557,0.562,0.349,-0.502,-0.219024658203125,nan
2025-07-02T04:29:40.454694,-0.705,0.67,0.232,0.001,-0.556,0.559,0.353,-0.503,-0.27268218994140625,nan
2025-07-02T04:29:40.550336,-0.705,0.67,0.232,0.0,-0.556,0.556,0.357,-0.504,-0.2777862548828125,nan
2025-07-02T04:29:40.646610,-0.705,0.671,0.232,0.0,-0.555,0.552,0.363,-0.505,-0.26245880126953125,nan
2025-07-02T04:29:40.742311,-0.705,0.671,0.232,-0.0,-0.553,0.549,0.368,-0.507,-0.23946380615234375,nan
2025-07-02T04:29:40.838657,-0.705,0.671,0.232,-0.0,-0.552,0.549,0.369,-0.508,-0.25223541259765625,nan
2025-07-02T04:29:40.934267,-0.705,0.67,0.232,-0.001,-0.55,0.55,0.368,-0.509,-0.33144378662109375,nan
2025-07-02T04:29:41.030587,-0.705,0.67,0.233,-0.001,-0.55,0.553,0.364,-0.509,-0.4157562255859375,nan
2025-07-02T04:29:41.141131,-0.705,0.67,0.233,-0.001,-0.55,0.555,0.361,-0.508,-0.5383987426757812,nan
2025-07-02T04:29:41.238478,-0.705,0.67,0.233,-0.001,-0.551,0.559,0.357,-0.507,-0.6073837280273438,nan
2025-07-02T04:29:41.334106,-0.705,0.67,0.233,-0.001,-0.552,0.561,0.353,-0.506,-0.696807861328125,nan
2025-07-02T04:29:41.430414,-0.705,0.67,0.233,-0.001,-0.553,0.563,0.35,-0.504,-0.7581329345703125,nan
2025-07-02T04:29:41.526038,-0.705,0.67,0.233,-0.001,-0.555,0.565,0.346,-0.502,-0.8424453735351562,nan
2025-07-02T04:29:41.622384,-0.705,0.669,0.234,-0.001,-0.557,0.567,0.343,-0.5,-0.9114303588867188,nan
2025-07-02T04:29:41.718028,-0.705,0.669,0.234,-0.0,-0.559,0.569,0.339,-0.498,-1.05706787109375,nan
2025-07-02T04:29:41.813887,-0.705,0.669,0.235,0.001,-0.561,0.571,0.336,-0.496,-1.1158294677734375,nan
2025-07-02T04:29:41.909885,-0.705,0.669,0.235,0.001,-0.563,0.573,0.333,-0.494,-1.1081619262695312,nan
2025-07-02T04:29:42.006173,-0.705,0.668,0.236,0.002,-0.565,0.574,0.331,-0.492,-1.0519561767578125,nan
2025-07-02T04:29:42.117775,-0.705,0.668,0.236,0.001,-0.566,0.575,0.328,-0.49,-0.9012069702148438,nan
2025-07-02T04:29:42.214147,-0.706,0.669,0.233,-0.001,-0.567,0.577,0.327,-0.49,-0.7811279296875,nan
2025-07-02T04:29:42.309775,-0.705,0.669,0.233,-0.001,-0.566,0.577,0.327,-0.491,-0.5895004272460938,nan
2025-07-02T04:29:42.406060,-0.705,0.67,0.233,-0.001,-0.564,0.576,0.328,-0.492,-0.44641876220703125,nan
2025-07-02T04:29:42.501857,-0.705,0.67,0.232,-0.001,-0.563,0.575,0.33,-0.494,-0.2241363525390625,nan
2025-07-02T04:29:42.598110,-0.705,0.671,0.231,-0.002,-0.562,0.573,0.332,-0.496,-0.06827545166015625,nan
2025-07-02T04:29:42.693671,-0.704,0.671,0.231,-0.003,-0.559,0.571,0.336,-0.499,0.18721771240234375,nan
2025-07-02T04:29:42.790011,-0.704,0.672,0.23,-0.004,-0.557,0.568,0.341,-0.502,0.3609619140625,nan
2025-07-02T04:29:42.917085,-0.704,0.672,0.229,-0.005,-0.555,0.564,0.347,-0.504,0.6445693969726562,nan
2025-07-02T04:29:43.013998,-0.704,0.673,0.228,-0.006,-0.553,0.56,0.352,-0.506,0.8361892700195312,nan
2025-07-02T04:29:43.109512,-0.704,0.673,0.228,-0.007,-0.552,0.557,0.357,-0.508,1.068695068359375,nan
2025-07-02T04:29:43.205507,-0.704,0.673,0.228,-0.007,-0.549,0.555,0.36,-0.511,1.4800491333007812,nan
2025-07-02T04:29:43.301453,-0.703,0.673,0.228,-0.008,-0.547,0.554,0.362,-0.513,1.6818923950195312,nan
2025-07-02T04:29:43.397887,-0.704,0.673,0.228,-0.008,-0.545,0.553,0.364,-0.515,2.1622390747070312,nan
2025-07-02T04:29:43.493394,-0.704,0.673,0.228,-0.007,-0.544,0.554,0.363,-0.515,2.3589706420898438,nan
2025-07-02T04:29:43.589778,-0.704,0.673,0.228,-0.007,-0.544,0.557,0.36,-0.514,2.7652130126953125,nan
2025-07-02T04:29:43.685391,-0.704,0.672,0.228,-0.007,-0.544,0.557,0.36,-0.514,2.9389572143554688,nan
2025-07-02T04:29:43.795908,-0.704,0.672,0.228,-0.007,-0.544,0.56,0.357,-0.513,3.2685470581054688,nan
2025-07-02T04:29:43.893308,-0.705,0.671,0.229,-0.006,-0.545,0.562,0.354,-0.511,3.0513763427734375,nan
2025-07-02T04:29:43.989672,-0.705,0.671,0.229,-0.005,-0.547,0.563,0.352,-0.509,2.7677688598632812,nan
2025-07-02T04:29:44.085186,-0.705,0.671,0.23,-0.004,-0.55,0.565,0.349,-0.507,2.264434814453125,nan
2025-07-02T04:29:44.181517,-0.705,0.67,0.231,-0.004,-0.551,0.566,0.347,-0.505,1.3190841674804688,nan
2025-07-02T04:29:44.277129,-0.705,0.67,0.231,-0.003,-0.553,0.568,0.345,-0.503,1.0124893188476562,nan
2025-07-02T04:29:44.373449,-0.705,0.67,0.232,-0.002,-0.555,0.569,0.342,-0.501,0.4018402099609375,nan
2025-07-02T04:29:44.469075,-0.705,0.67,0.232,-0.001,-0.555,0.57,0.341,-0.501,0.19488525390625,nan
2025-07-02T04:29:44.565447,-0.705,0.671,0.232,-0.001,-0.556,0.57,0.34,-0.5,-0.11426544189453125,nan
2025-07-02T04:29:44.661048,-0.705,0.67,0.233,-0.0,-0.556,0.571,0.34,-0.5,-0.2777862548828125,nan
2025-07-02T04:29:44.772517,-0.704,0.671,0.233,0.0,-0.556,0.571,0.339,-0.5,-0.5077362060546875,nan
2025-07-02T04:29:44.868905,-0.704,0.671,0.233,0.0,-0.556,0.571,0.339,-0.5,-0.5205154418945312,nan
2025-07-02T04:29:44.965211,-0.704,0.671,0.233,0.0,-0.555,0.571,0.34,-0.501,-0.7044754028320312,nan
2025-07-02T04:29:45.060834,-0.704,0.671,0.232,0.0,-0.554,0.57,0.341,-0.502,-0.788787841796875,nan
2025-07-02T04:29:45.157223,-0.704,0.671,0.232,-0.0,-0.553,0.569,0.342,-0.503,-0.8884353637695312,nan
2025-07-02T04:29:45.252805,-0.704,0.671,0.232,-0.001,-0.552,0.568,0.344,-0.505,-0.87310791015625,nan
2025-07-02T04:29:45.349173,-0.704,0.671,0.232,-0.002,-0.55,0.566,0.346,-0.507,-0.604827880859375,nan
2025-07-02T04:29:45.444729,-0.704,0.671,0.232,-0.002,-0.548,0.564,0.35,-0.51,-0.4259796142578125,nan
2025-07-02T04:29:45.541049,-0.704,0.672,0.232,-0.003,-0.547,0.562,0.352,-0.511,0.16167449951171875,nan
2025-07-02T04:29:45.636678,-0.704,0.672,0.231,-0.003,-0.545,0.56,0.356,-0.513,0.42227935791015625,nan
2025-07-02T04:29:45.747201,-0.704,0.672,0.231,-0.002,-0.543,0.558,0.358,-0.515,1.022705078125,nan
2025-07-02T04:29:45.844618,-0.704,0.672,0.232,-0.002,-0.541,0.558,0.359,-0.517,1.2577667236328125,nan
2025-07-02T04:29:45.940912,-0.704,0.671,0.232,-0.002,-0.541,0.559,0.358,-0.517,1.7559890747070312,nan
2025-07-02T04:29:46.036603,-0.704,0.671,0.232,-0.002,-0.54,0.558,0.358,-0.518,1.99871826171875,nan
2025-07-02T04:29:46.132869,-0.704,0.671,0.233,-0.001,-0.54,0.56,0.357,-0.518,2.5889205932617188,nan
2025-07-02T04:29:46.228516,-0.704,0.671,0.233,-0.001,-0.542,0.562,0.354,-0.516,2.9108505249023438,nan
2025-07-02T04:29:46.324881,-0.704,0.671,0.234,-0.0,-0.543,0.564,0.351,-0.514,3.4295120239257812,nan
2025-07-02T04:29:46.420414,-0.705,0.669,0.234,0.004,-0.547,0.566,0.347,-0.51,3.5828170776367188,nan
2025-07-02T04:29:46.516697,-0.706,0.669,0.234,0.005,-0.55,0.568,0.344,-0.507,3.2072296142578125,nan
2025-07-02T04:29:46.612324,-0.706,0.668,0.235,0.006,-0.552,0.57,0.341,-0.504,2.7217788696289062,nan
2025-07-02T04:29:46.708667,-0.706,0.668,0.236,0.006,-0.554,0.571,0.339,-0.502,1.7534332275390625,nan
2025-07-02T04:29:46.819705,-0.706,0.668,0.236,0.007,-0.557,0.572,0.336,-0.5,1.4391708374023438,nan
2025-07-02T04:29:46.916554,-0.706,0.668,0.237,0.008,-0.559,0.574,0.333,-0.497,0.7390975952148438,nan
2025-07-02T04:29:47.012180,-0.706,0.667,0.237,0.008,-0.563,0.575,0.33,-0.494,0.5372543334960938,nan
2025-07-02T04:29:47.108506,-0.706,0.667,0.238,0.009,-0.564,0.575,0.328,-0.492,0.2817535400390625,nan
2025-07-02T04:29:47.204058,-0.706,0.667,0.238,0.009,-0.566,0.576,0.326,-0.491,0.1718902587890625,nan
2025-07-02T04:29:47.300422,-0.706,0.667,0.239,0.009,-0.567,0.577,0.325,-0.489,-0.19091796875,nan
2025-07-02T04:29:47.396001,-0.705,0.667,0.239,0.009,-0.566,0.577,0.325,-0.49,-0.30078125,nan
2025-07-02T04:29:47.492601,-0.705,0.668,0.239,0.008,-0.566,0.577,0.325,-0.491,-0.45664215087890625,nan
2025-07-02T04:29:47.587953,-0.705,0.668,0.238,0.008,-0.566,0.577,0.325,-0.491,-0.5792770385742188,nan
2025-07-02T04:29:47.684376,-0.704,0.669,0.237,0.008,-0.565,0.576,0.326,-0.492,-0.6814804077148438,nan
2025-07-02T04:29:47.779918,-0.704,0.669,0.237,0.007,-0.565,0.575,0.328,-0.493,-0.6559295654296875,nan
2025-07-02T04:29:47.908253,-0.704,0.669,0.237,0.006,-0.564,0.573,0.33,-0.494,-0.34932708740234375,nan
2025-07-02T04:29:48.003829,-0.704,0.67,0.236,0.005,-0.563,0.572,0.332,-0.495,-0.18325042724609375,nan
2025-07-02T04:29:48.100266,-0.704,0.67,0.235,0.005,-0.562,0.571,0.335,-0.497,0.28430938720703125,nan
2025-07-02T04:29:48.195441,-0.703,0.671,0.235,0.005,-0.561,0.569,0.338,-0.498,0.5219268798828125,nan
2025-07-02T04:29:48.292048,-0.704,0.671,0.235,0.004,-0.558,0.566,0.341,-0.501,1.0278167724609375,nan
2025-07-02T04:29:48.387702,-0.704,0.67,0.236,0.004,-0.557,0.566,0.343,-0.503,1.1862258911132812,nan
2025-07-02T04:29:48.484049,-0.704,0.67,0.236,0.004,-0.556,0.567,0.342,-0.503,1.694671630859375,nan
2025-07-02T04:29:48.595192,-0.704,0.669,0.236,0.004,-0.556,0.568,0.341,-0.502,1.9169540405273438,nan
